,sample_id,ancestry,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,predicted
0,1,amr,-0.10895016778617718,0.18579561235801137,0.0037936865086544763,0.04087235820973174,0.00729320680112407,0.059342621284863846,-0.051051153079515486,0.021510174700990065,-0.004269226796048874,0.023796812600327743,True
1,2,amr,-0.09943033789987486,0.16772818301936984,-0.008247486582960858,0.04927831672631606,-0.00324016029226601,0.03783653720762228,-0.04719628571645793,0.011902181950507826,-0.005859874883766984,0.026438457103621013,True
2,3,eas,-0.16276923591903478,-0.18051633198345443,-0.16635592774861477,0.03143020705319569,0.0775201277696695,0.05150869594531125,-0.06099826776127265,0.02116099280078809,0.007529806684721639,0.01716256814822063,False
3,4,eas,-0.16467908798921985,-0.17473178130991807,-0.16168432546292355,0.037865303539401235,0.07045699793322542,0.052420798319980005,-0.0635587488554971,0.009928670550904913,0.020001024798489236,0.0009975518030910287,True
4,5,eas,-0.16219522188037347,-0.18308768876730674,-0.1673736731102984,0.04545390510526709,0.08618429172908094,0.04930877874286684,-0.05467187886671088,0.003708881619406178,0.012089140545038934,0.014168408806141891,False
5,6,nfe,-0.1826876063129461,0.15338504293711294,0.2862180788094277,0.016469655332682662,0.2144496589765356,-0.1784988716700696,-0.0676229287177524,0.08331996797782522,-0.02869078639186403,-0.0642407608375499,True
6,7,nfe,-0.13615261077238494,0.22742118703088465,0.022659940859158748,0.012263961985858836,0.018594815571854897,0.10809121431946907,-0.021843529939819736,0.03244165655383434,-0.02531290096577743,0.008630407948922903,False
7,8,nfe,-0.1316448038524484,0.2136010352672792,0.013690781470963054,0.022886316100006236,0.015174360725419882,0.10088464255415257,-0.020539401068182115,0.033812050628813616,-0.02947057483714053,0.0005164460995890895,False
8,9,nfe,-0.16547785326961797,0.14887357173031204,0.2240316938041082,0.015266461483742852,0.14488340190158805,-0.10411395919505592,-0.05289506199688908,0.03924893641647126,0.020356561077634398,-0.021736248426880368,False
9,10,nfe,-0.13604550912636587,0.21921650014046076,0.024242932041092555,0.020655689608151177,0.015266544756979555,0.1012429577775139,-0.013706656199036993,0.015857621435569774,-0.0026020584987686882,-0.03130811853391564,False
10,11,nfe,-0.1335509682838471,0.2051244254005723,0.02877084111006796,0.01935789734552366,0.013979436408600646,0.1059232562255592,-0.013851096442366767,0.0021233158632310368,0.000936290557427802,-0.032794234389905065,True
11,12,nfe,-0.13973908461977544,0.21121219885177883,0.031487271616416075,0.021126855041576794,0.009213350967271827,0.10707369465103536,-0.019867509819235626,0.009868677845591586,0.016614607111793602,-0.02965031052260062,False
12,13,nfe,-0.13541133348940895,0.22413912793433724,0.020739091590468012,0.018428209523812047,0.017822324059504877,0.09932902534203658,-0.020588588161688532,0.026360468213183906,-0.027346402682375214,0.007158136167381463,False
13,14,nfe,-0.13698637285276755,0.21343600191824486,0.011099533879328707,0.017381688744674682,0.017285338739688315,0.097820368900189,-0.024039268417212125,0.03130549599010988,-0.027272241199549664,0.011405514142440003,False
14,15,nfe,-0.13546062736001804,0.21874653406271427,0.0302737276078989,0.023813538617321314,0.016366750285812658,0.1008302350510999,-0.01250825067605347,0.022339419436984094,0.003013158108539729,-0.019630075804231022,True
15,16,nfe,-0.15547769759074853,0.16381364224181527,0.12922285994343385,-0.008851813227404338,-0.011159968277970764,0.09486249066374282,0.030528540093349866,-0.06102719283232186,0.049633960101124745,0.01146521104795111,False
16,17,nfe,-0.15615732136840368,0.15817331460236553,0.15259856561698387,-0.007797579164244256,0.0016023815310226824,0.0846599317737811,0.04092212505746183,-0.064255804098178,0.037692607228115224,0.01573262127535828,False
17,18,nfe,-0.1605341868941837,0.1539604033423071,0.15188620285747945,-0.01325530241050361,-0.0037933071439217323,0.08148590618321574,0.04027768516772577,-0.0743638793786136,0.0478527552023239,0.013231101736528384,True
