s	scores
1	[-0.10895016778617754,0.1857956123580124,-0.0037936865086545205,-0.040872358209732236,-0.007293206801122961,-0.05934262128486409,-0.05105115307951546,0.02151017470099051,-0.00426922679585906,0.023796812603739805]
10	[-0.13604550912636637,0.2192165001404627,-0.024242932041092704,-0.020655689608152367,-0.01526654475697792,-0.10124295777751346,-0.01370665619903708,0.01585762143556975,-0.0026020584986922554,-0.03130811853271724]
100	[-0.13623591407208208,0.19041427435230934,-0.005918482945231334,-0.02357201954549381,-0.02575077074699078,-0.08974853463933384,-0.0032099906635633256,0.012009614660920011,-0.033922215774152005,0.018558888917982897]
1000	[0.4461839099985484,-0.04822275122120511,-0.011522676995453283,0.009477557581775478,0.049054791855982105,-0.020950897042403837,-0.006485515354268943,-0.05371004469929746,-0.0474711615600472,-0.11072810833104185]
1001	[0.44539986046063235,-0.025771803469834584,0.006621826964967671,-0.0026356400573906134,0.010642905046671945,-0.019132868970463304,0.02664285078201006,-0.010611478474063104,-0.08268637498912441,-0.08123690064422892]
1002	[-0.1309658032550525,0.08985073830668037,0.1306284064012992,0.09627882254752253,0.024092840144186934,0.045147718575594235,0.038284679613691974,0.011935685808167385,-0.017926333975873787,-0.01156354785542478]
1003	[-0.12919600621862162,0.11382553325556206,0.07826628568467102,0.10490695054430918,0.05644875019034364,0.025056657848682964,0.007414360967344329,-0.026434678403927322,0.023554289980717676,-0.06252228891996182]
1004	[-0.12597609951670316,0.11021175507242277,0.08288780053366929,0.09479367334963046,0.05001480957275916,0.02369122738892786,0.005301370512365574,-0.016531585245299643,0.02102079338814492,-0.05199278262604969]
1005	[0.424350418952038,-0.026193221747398986,0.010122728185207189,-0.0013752837670072307,-0.007866534359042708,0.010880323917116491,-0.07476864161323259,-0.07785020464735444,-0.10590517681154603,0.05223407207242331]
1006	[0.43249631159538343,-0.022769997710677472,0.011941660375416056,-0.0031261994125538397,-0.002003066311615982,0.014355632221608707,-0.05687296353280014,-0.06222995096261676,-0.09468404744571689,0.04037262919447007]
1007	[0.40365365076987425,-0.017121184650020625,0.010416904756021503,-0.0022603289642517278,-0.004458490129572327,0.005776113929152706,-0.06551820994586216,-0.0806245743751881,-0.11966943993855118,0.03533348155108894]
1008	[0.4137563989575812,-0.02000183942100671,0.011314487196767331,0.0012520141920361692,-0.007603998095210771,4.6951727997826694E-4,-0.059065509134642445,-0.07632820074554086,-0.11442103473753035,0.023873540621870647]
1009	[0.4214575617903921,-0.04990243366902423,-0.014216977431945355,0.003164590875193785,0.020025443618506347,0.02164899648015514,-0.16261019542684282,-0.14144539429729916,-0.049408554537145544,0.038451018676314515]
101	[-0.20290770166784997,0.05720662833950605,-0.3021153171332931,0.03226259669623493,-0.05517996616796578,0.04987319833710568,0.10388567340277484,-0.040789338547611124,-0.12034249236029793,0.012716619574493314]
1010	[0.44151750941115775,-0.029702034241191118,0.009384974477910247,-0.005610644694183579,0.004950116984598073,-0.018534130681497,0.07444051834087981,0.06050462760949526,0.01985950781045214,-0.07835276293514719]
1011	[0.44429837756065627,-0.04234295784803841,-0.017154300176562907,0.01357755296044916,0.04078700080878154,-0.021375049819953557,0.05771693636856767,0.030225778083271003,0.08073137809944407,-0.1132472800927353]
1012	[0.44295416778425933,-0.04270039556417601,-0.013453096557445842,0.010346881306787296,0.034822087466501936,-0.023985112681837773,0.05112751499408289,0.025461863004965894,0.07928377099933753,-0.11060260088894093]
1013	[0.43420183128548423,-0.04541748062605926,-0.0164814774847702,0.0141215802606561,0.0399443698238084,-0.026749588909758034,0.04929922354071336,0.022293276549184796,0.07848711859978284,-0.11873295242595422]
1014	[0.44629244012777086,-0.0516414011508149,-0.0136988059882771,0.012694767154571645,0.045019705474763735,-0.02099200978548604,0.03592513389095741,0.006550972074488751,0.07228169070226702,-0.13093319513329654]
1015	[0.4461283110176284,-0.050004774632447575,-0.013550116657045693,0.00963550067928818,0.048941311659750644,-0.02436915689485853,0.049739274995052325,0.016868272092681453,0.08361939397831196,-0.13361664446051025]
1016	[0.45156021127122625,-0.04903564809591579,-0.015120700548493763,0.01039829419654751,0.03405661704571698,-0.022050696319151825,0.040691603277877554,0.013964500450307518,0.0625360535305206,-0.10317574591753953]
1017	[0.44228020948939994,-0.05132047984081101,-0.011760731379293541,0.017406469753775987,0.04307113505457182,-0.02344018236259967,0.0473694782692855,0.007310251780248672,0.06363001941938619,-0.10980551596940986]
1018	[0.43980025201915235,-0.04621512559604438,-0.012524014610829975,0.016904989827977487,0.04414645534322644,-0.02564283595557644,0.042418845463579574,0.014086446782249334,0.07480744451382072,-0.1310634343878011]
1019	[0.4336316918544513,-0.030103620229661388,0.010130607800232661,-6.057700614561078E-4,-0.001956771421976729,-0.026106257558307918,0.07497002096408865,0.05963351137232994,0.018517657523013216,-0.07049397854637539]
102	[-0.16781454807982432,0.1291474540345834,-0.15807570680779665,-0.01966265964845785,-0.14166954593629436,0.08408287851895058,-0.05465113316285474,0.035410251111029356,0.0016469808694782341,-0.019274062477443146]
1020	[0.4415513663938214,-0.02830630462385345,0.004513254643792738,-0.006300170568075632,0.0037761137746664245,-0.02512543791408719,0.08073103960426406,0.06582260472219298,0.02731760977079645,-0.08909658710597043]
1021	[0.4283360343422918,-0.03979986605689193,-0.008770397990050256,0.007936800306911575,0.032611777211834954,-0.025097892281021293,0.043452178840434584,0.01890472175268948,0.08673593596072858,-0.11803883668602434]
1022	[0.4328917120866556,-0.04723068334322523,-0.008655167826761193,0.01047061701971234,0.02792008749499877,-0.02874016301392243,0.055462327839142414,0.023833663069333016,0.077882928415411,-0.13814108987819498]
1023	[0.4474032744149886,-0.02768036093758955,0.009863109185320228,7.493653860237173E-4,0.007957922498383865,-0.02157754178833632,0.0681861347997482,0.031444982917560114,-0.011827347328632777,-0.08908640872113217]
1024	[0.4308419121132415,-0.02820052917592484,0.007666986367956292,5.854645240410132E-4,0.0016158294027823386,-0.026313931717039926,0.06292388192118979,0.048944043362273905,0.02705515490522537,-0.09692988127802722]
1025	[0.4426280111214285,-0.028061165189277242,0.009881016261870329,-0.0022907376942704494,9.84900264210813E-4,-0.012759350662766011,0.07253344615757037,0.07089214902063894,0.02498474304228415,-0.04773296112752363]
1026	[0.4305053424558708,-0.02522396521276558,0.012043080981870583,-0.009421179445919603,0.002724290521000384,-0.01899748523201081,0.08206115089654731,0.07790841877201982,0.04007529366688879,-0.04210734592549786]
